repo,task_files,merges,conflicted,task_conflicted,example
jimmysteinmetz/still,14,1,0,0,""
joelmarkgrossman/omcport,27,0,0,0,""
joemaffei/jm-tasks,25,0,0,0,""
jpoley/flowspec,125,263,16,5,"task-082"
jvgomg/podkit,333,2,1,0,""
kessriga/flamberge,23,32,0,0,""
khuper/tack,15,1,0,0,""
kounoike/react-rich-media-hooks,24,0,0,0,""
kschk24/romhop,73,12,4,0,""
livingtongues/living-dictionaries,66,300,27,0,""
loqganesh-hue/aulalibre,110,1,0,0,""
luketych/str--playground--residual_model_walk,4,0,0,0,""
lytv/Yamato-SaaS,0,SKIP,,,
maaldheefee/dhivehi-translation-arena,5,3,1,0,""
madebyraygun/nigel,144,111,30,2,"task-79"
matteo-hertel/raindrop-mcp-local,0,SKIP,,,
michaelkargl/PresenceCube,7,5,0,0,""
mikolajmikolajczyk/x86jit,14,17,5,0,""
mkucharek/dynotui,61,1,0,0,""
mmeister86/tmbd_cli,2,SKIP,,,
mrbya/fsdoctor,8,0,0,0,""
mrgoonie/claudekit-cli,0,SKIP,,,
nyamoyan/handoff-atlas,7,0,0,0,""
okbrainhq/okproxy,5,20,0,0,""
opum-ai/lore-cli,402,220,2,1,"lcli-283.1.5"
oriolrius/certbot-ui,16,0,0,0,""
oriolrius/keycloak-kafka-scram-sync,67,0,0,0,""
oriolrius/keycloak-kafka-sync-agent,63,0,0,0,""
oriolrius/node-red-api-gateway,61,0,0,0,""
oriolrius/pki-manager-web,162,9,1,0,""
pdudits/firefox-color-per-site,6,0,0,0,""
plane-watch/aerodex,1,SKIP,,,
pleasetrythisathome/factory-dame,11,0,0,0,""
primeBeri/huml-dotnet,33,13,0,0,""
principal-ai/file-city,0,SKIP,,,
proximata/nfc-timesheets,235,0,0,0,""
pythoninthegrass/astrolabe-python,0,SKIP,,,
pythoninthegrass/dsh_config,7,0,0,0,""
pythoninthegrass/icarus,7,13,5,1,"task-008"
pythoninthegrasses/clair_config,4,0,0,0,""
pythoninthegrasses/meetup_bot,4,49,8,0,""
pythoninthegrasses/mt,24,26,8,3,"task-268"
qdrddr/clear-your-tools,4,6,2,0,""
qwadratic/tg,41,0,0,0,""
radleta/Backlog.md-mcp,10,4,2,0,""
rafay99-epic/Crisp,45,0,0,0,""
rknightion/autopi-ha,1,SKIP,,,
rknightion/bumblebee-intune,4,0,0,0,""
rknightion/fleet-management-operator,6,8,5,0,""
rknightion/grafana-cloud-org-insights,29,4,0,0,""
rknightion/meraki-dashboard-exporter,46,83,1,0,""
rknightion/meraki-dashboard-ha,7,128,4,0,""
rknightion/openbao-plugin-secrets-github,2,SKIP,,,
rknightion/opnsense2otel,57,15,1,0,""
rknightion/paperless-ngx-dedupe,4,70,2,0,""
rknightion/rfc6035-2otel,3,3,0,0,""
rknightion/sf2loki,64,2,0,0,""
rknightion/tailscale2otel,114,29,2,0,""
rknightion/transceiver-exporter,9,8,0,0,""
rmarinsky/AppCat,2,SKIP,,,
rmusser01/tldw_chatbook,290,300,18,1,"task-82"
rvdbreemen/OTGW-firmware,756,300,154,2,"task-382"
rvdbreemen/adr-kit,39,129,11,1,"task-104"
rvdleun/rss-feeds-to-podcast,28,0,0,0,""
ryancormack/kiro-mcp-manager,8,2,0,0,""
ryandt33/raptscallions,40,30,0,0,""
salacoste/daytona-wildberries-typescript-sdk,14,1,0,0,""
salacoste/wb-erp-system-daytona-FE,42,300,1,0,""
salotz/bimhaw,4,3,1,0,""
savioserra/lazyvim,40,0,0,0,""
sch-28/lesefluss,132,1,0,0,""
scope-impact/QualCoder-v2,171,35,6,1,"index.md"
seabo/seaborg,172,149,11,2,"task-32"
sekka/usage-limits-core,0,SKIP,,,
semaes111/selfhosted-paas-docker-deploy,9,300,11,0,""
serendipitynz/backlog-atlas,0,SKIP,,,
sergio-fry/master-agent,31,0,0,0,""
shyamsridhar123/sharkbait,57,3,0,0,""
stijnvanbael/prefab,84,2,0,0,""
streamlabs/beaker,61,300,40,0,""
svdx9/talki,2,SKIP,,,
tbobm/aws-comp,7,6,1,0,""
tegnike/aozora-islands,0,SKIP,,,
temidaradev/Room,30,1,0,0,""
the-cyber-boardroom/SGraph-AI__App__Send,84,300,33,0,""
thepharmd1992/synthesia2midi,26,3,0,0,""
tine2k/eltako62pf-hass,15,0,0,0,""
toba/css-lsp,72,0,0,0,""
tobiase/worktree-utils,32,7,0,0,""
tomasmcguinness/matter-esp32-home-energy-manager,24,4,1,0,""
tomasmcguinness/matter-esp32-modbus-tcp-bridge,16,0,0,0,""
u-ichi/reviewable-html-workbench,0,SKIP,,,
unoplat/unoplat-code-confluence,71,300,14,2,"task-4.1"
usmcamp0811/crystal-forge,389,127,9,7,"task-65.4"
utensil/forest,15,77,9,0,""
utter-one/bonsai,80,300,4,0,""
vafu/octaglide-rs,29,1,0,0,""
vico068/easyti-cloud-deploy,9,0,0,0,""
vincemaina/data-platform-sandbox,2,SKIP,,,
whensync/timeful,45,232,32,0,""
wrbl606/backlog.md-to-pr,9,2,0,0,""
wrbl606/cut_in_half,8,8,0,0,""
wtfzambo/pandino,14,0,0,0,""
wtfzambo/speak-like-you-eat,13,3,0,0,""
wtfzambo/spotme,21,0,0,0,""
yaleh/archguard,13,82,4,0,""
yaleh/baime,26,132,5,5,"task-162"
yliapis/dotfiles,15,28,5,0,""
ysamlan/vscode-backlog-md,75,0,0,0,""
